id,disc_number,duration_ms,explicit,name,track_number,type,popularity,artist_external_urls,artist_href,artist_id,artist_name,artist_type,artist_uri,album_id,album_album_type,album_name,album_release_date,album_release_date_precision,album_total_tracks,album_type,album_artist_external_urls,album_artist_href,album_artist_id,album_artist_name,album_artist_type,album_artist_uri,added_date
6TNBx9lvDcqLq1GQCPNJqH,1,163973,False,Debold,7,track,52,https://open.spotify.com/artist/5iUnvXddCpOrbWKm7QMr6o,https://api.spotify.com/v1/artists/5iUnvXddCpOrbWKm7QMr6o,5iUnvXddCpOrbWKm7QMr6o,Vegyn,artist,spotify:artist:5iUnvXddCpOrbWKm7QMr6o,50156iq4owa0BXegpAf1Mg,album,Only Diamonds Cut Diamonds,2019-11-08,day,16,album,https://open.spotify.com/artist/5iUnvXddCpOrbWKm7QMr6o,https://api.spotify.com/v1/artists/5iUnvXddCpOrbWKm7QMr6o,5iUnvXddCpOrbWKm7QMr6o,Vegyn,artist,spotify:artist:5iUnvXddCpOrbWKm7QMr6o,2020-11-17T23:48:14Z
1hgX0ZmmP7IRRjUFCIBrnQ,1,310133,False,Feel Your Weight - Poolside Remix,4,track,65,https://open.spotify.com/artist/2AcUPzkVWo81vumdzeLLRN,https://api.spotify.com/v1/artists/2AcUPzkVWo81vumdzeLLRN,2AcUPzkVWo81vumdzeLLRN,Rhye,artist,spotify:artist:2AcUPzkVWo81vumdzeLLRN,1AvkRISSdzC7cq7eLoS5w1,album,Blood Remixed,2018-11-16,day,14,album,https://open.spotify.com/artist/2AcUPzkVWo81vumdzeLLRN,https://api.spotify.com/v1/artists/2AcUPzkVWo81vumdzeLLRN,2AcUPzkVWo81vumdzeLLRN,Rhye,artist,spotify:artist:2AcUPzkVWo81vumdzeLLRN,2020-11-18T00:19:44Z
62dHSlq2JM8VD15EHkk5MM,1,247954,False,Out Here with Us,2,track,19,https://open.spotify.com/artist/238y1dKPtMeFEpX3Y6H1Vr,https://api.spotify.com/v1/artists/238y1dKPtMeFEpX3Y6H1Vr,238y1dKPtMeFEpX3Y6H1Vr,Parra for Cuva,artist,spotify:artist:238y1dKPtMeFEpX3Y6H1Vr,3LqNIBSLElfubZKyTPunZa,album,Paspatou,2018-11-22,day,12,album,https://open.spotify.com/artist/238y1dKPtMeFEpX3Y6H1Vr,https://api.spotify.com/v1/artists/238y1dKPtMeFEpX3Y6H1Vr,238y1dKPtMeFEpX3Y6H1Vr,Parra for Cuva,artist,spotify:artist:238y1dKPtMeFEpX3Y6H1Vr,2020-11-18T00:24:56Z
694vvR5o19xHPhhJ5QdLN7,1,259746,True,NO HALO,1,track,65,https://open.spotify.com/artist/1Bl6wpkWCQ4KVgnASpvzzA,https://api.spotify.com/v1/artists/1Bl6wpkWCQ4KVgnASpvzzA,1Bl6wpkWCQ4KVgnASpvzzA,BROCKHAMPTON,artist,spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA,1jToVugwBEzcak8gJNZG2f,album,GINGER,2019-08-23,day,12,album,https://open.spotify.com/artist/1Bl6wpkWCQ4KVgnASpvzzA,https://api.spotify.com/v1/artists/1Bl6wpkWCQ4KVgnASpvzzA,1Bl6wpkWCQ4KVgnASpvzzA,BROCKHAMPTON,artist,spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA,2020-12-03T11:59:04Z
2m4j9Z2XCxhRppNu94fMo5,1,263066,True,VICTOR ROBERTS,12,track,45,https://open.spotify.com/artist/1Bl6wpkWCQ4KVgnASpvzzA,https://api.spotify.com/v1/artists/1Bl6wpkWCQ4KVgnASpvzzA,1Bl6wpkWCQ4KVgnASpvzzA,BROCKHAMPTON,artist,spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA,1jToVugwBEzcak8gJNZG2f,album,GINGER,2019-08-23,day,12,album,https://open.spotify.com/artist/1Bl6wpkWCQ4KVgnASpvzzA,https://api.spotify.com/v1/artists/1Bl6wpkWCQ4KVgnASpvzzA,1Bl6wpkWCQ4KVgnASpvzzA,BROCKHAMPTON,artist,spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA,2020-12-03T22:13:48Z
2XTjamhOEI6Q11PSvnVtNQ,1,156000,False,Innerspace,10,track,42,https://open.spotify.com/artist/5KIrQe9pb7tn8y775PsoAP,https://api.spotify.com/v1/artists/5KIrQe9pb7tn8y775PsoAP,5KIrQe9pb7tn8y775PsoAP,The Apples In Stereo,artist,spotify:artist:5KIrQe9pb7tn8y775PsoAP,68ujjRr5T1Ubuh42IZl1n1,album,Fun Trick Noisemaker,1995,year,13,album,https://open.spotify.com/artist/5KIrQe9pb7tn8y775PsoAP,https://api.spotify.com/v1/artists/5KIrQe9pb7tn8y775PsoAP,5KIrQe9pb7tn8y775PsoAP,The Apples In Stereo,artist,spotify:artist:5KIrQe9pb7tn8y775PsoAP,2020-12-07T15:10:09Z
34yWeV0GSI4cq3Flm1tgWV,1,254666,False,The Number Thirteen,3,track,41,https://open.spotify.com/artist/28UHHsOtyPTT2OOIMA48Ps,https://api.spotify.com/v1/artists/28UHHsOtyPTT2OOIMA48Ps,28UHHsOtyPTT2OOIMA48Ps,Louis Prince,artist,spotify:artist:28UHHsOtyPTT2OOIMA48Ps,3cfDbE4fmsak6G1uZ0bi9q,album,Thirteen,2020-03-13,day,13,album,https://open.spotify.com/artist/28UHHsOtyPTT2OOIMA48Ps,https://api.spotify.com/v1/artists/28UHHsOtyPTT2OOIMA48Ps,28UHHsOtyPTT2OOIMA48Ps,Louis Prince,artist,spotify:artist:28UHHsOtyPTT2OOIMA48Ps,2020-12-07T15:10:12Z
1MD2yGSeBRALkMui1fZ05P,1,228061,False,anemone,4,track,61,https://open.spotify.com/artist/3S4d3YRNGg2OhnNm3QvfhA,https://api.spotify.com/v1/artists/3S4d3YRNGg2OhnNm3QvfhA,3S4d3YRNGg2OhnNm3QvfhA,slenderbodies,artist,spotify:artist:3S4d3YRNGg2OhnNm3QvfhA,1vaFEGAj0JSQSM2SlK0B3X,single,fabulist,2017-04-12,day,5,album,https://open.spotify.com/artist/3S4d3YRNGg2OhnNm3QvfhA,https://api.spotify.com/v1/artists/3S4d3YRNGg2OhnNm3QvfhA,3S4d3YRNGg2OhnNm3QvfhA,slenderbodies,artist,spotify:artist:3S4d3YRNGg2OhnNm3QvfhA,2020-12-08T22:02:34Z
3JdwGk8j7lHN5qdzJZklam,1,165893,False,Lovin’ Me (feat. Phoebe Bridgers),14,track,67,https://open.spotify.com/artist/0fA0VVWsXO9YnASrzqfmYu,https://api.spotify.com/v1/artists/0fA0VVWsXO9YnASrzqfmYu,0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,artist,spotify:artist:0fA0VVWsXO9YnASrzqfmYu,64nbgEEIcY4g1ElVLONJ0w,album,Man On The Moon III: The Chosen,2020-12-11,day,18,album,https://open.spotify.com/artist/0fA0VVWsXO9YnASrzqfmYu,https://api.spotify.com/v1/artists/0fA0VVWsXO9YnASrzqfmYu,0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,artist,spotify:artist:0fA0VVWsXO9YnASrzqfmYu,2020-12-11T16:18:40Z
6ap5AekhAt3k6e0zAknDyV,1,214853,False,Bunny,3,track,61,https://open.spotify.com/artist/2ABBMkcUeM9hdpimo86mo6,https://api.spotify.com/v1/artists/2ABBMkcUeM9hdpimo86mo6,2ABBMkcUeM9hdpimo86mo6,Tourist,artist,spotify:artist:2ABBMkcUeM9hdpimo86mo6,2oegpcBiGzsD1JBXKZ9nWD,album,Wild,2019-10-18,day,10,album,https://open.spotify.com/artist/2ABBMkcUeM9hdpimo86mo6,https://api.spotify.com/v1/artists/2ABBMkcUeM9hdpimo86mo6,2ABBMkcUeM9hdpimo86mo6,Tourist,artist,spotify:artist:2ABBMkcUeM9hdpimo86mo6,2020-12-12T00:18:37Z
