,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
35,Every Time,Volta,Boogie Belgique,2016-09-23,241743,55,0.675,0.0754,0.675,0.603,0.319,0.165,-6.985,0.0413,79.003,4
36,Midnight Mischief - Tom Misch Remix,Midnight Mischief (Tom Misch Remix),Jordan Rakei,2016-09-19,266086,63,0.546,0.492,0.546,0.404,0.0269,0.115,-7.441,0.0353,92.07,4
37,I'll Come Too,Assume Form,James Blake,2019-01-18,222400,57,0.661,0.757,0.661,0.472,0.00275,0.192,-7.889,0.164,73.986,4
38,Moon,Play Me Again,Kid Francescoli,2017-03-03,390638,0,0.663,0.295,0.663,0.658,0.867,0.102,-10.001,0.0345,117.986,4
39,Of My Mind,When Love Hurts,Pional,2016-09-30,252598,41,0.717,0.284,0.717,0.486,0.536,0.348,-11.511,0.0473,121.05,4
40,Peaceful Life,Eternal,Guts,2016-04-01,246266,58,0.849,0.0264,0.849,0.678,0.0408,0.284,-7.781,0.0344,108.681,4
41,Pista (Great Start),Pista (Great Start) - Single,Los Bitchos,2019-08-12,205680,40,0.705,0.421,0.705,0.888,0.022,0.796,-3.942,0.0301,91.028,4
42,Sweet Virginia,Exile On Main Street (2010 Re-Mastered),The Rolling Stones,1972-05-12,266560,57,0.477,0.502,0.477,0.74,1.31e-06,0.263,-5.397,0.0446,107.384,4
43,Ponto das Caboclas - Bônus Track,Mangas e Bananas para o Meu Amor,Camila Costa,2018-02-16,204906,18,0.425,0.684,0.425,0.647,2.53e-06,0.111,-9.667,0.0932,128.072,5
44,Light (High As You Can),Light,Pépe,2019-02-15,331720,0,0.741,0.000176,0.741,0.845,0.902,0.105,-10.108,0.0557,127.982,4
45,Golden Cage,Dreams,The Whitest Boy Alive,2006-09-04,242440,49,0.835,0.137,0.835,0.693,0.492,0.136,-6.521,0.0374,119.699,4
46,The Amputees,No Treasure But Hope,Tindersticks,2019-11-15,207386,30,0.275,0.862,0.275,0.367,0.000444,0.0995,-11.095,0.0376,69.051,4
47,Meet Your Maker,Meet Your Maker,Club Kuru,2019-05-03,389000,33,0.404,0.0541,0.404,0.486,0.17,0.105,-7.91,0.0293,134.073,4
48,The River,Quarters!,King Gizzard & The Lizard Wizard,2015-05-01,610253,15,0.485,0.531,0.485,0.737,0.502,0.192,-4.553,0.0419,115.027,4
49,Manifest (Feat. Erika Wennerstrom),Manifest (Feat. Erika Wennerstrom),Andrew Bird,2019-11-21,281586,38,0.563,0.388,0.563,0.677,0.0,0.11,-4.425,0.0326,106.751,4
50,One More Year,The Slow Rush,Tame Impala,2020-02-14,324013,60,0.602,0.057,0.602,0.88,0.46,0.284,-5.414,0.0354,114.009,4
51,Fade Into You,So Tonight That I Might See,Mazzy Star,1993-10-05,295600,71,0.42,0.245,0.42,0.33,0.000679,0.0677,-13.925,0.0275,157.143,3
52,Love Songs For Robots,Love Songs For Robots,Patrick Watson,2015-05-11,217606,50,0.419,0.915,0.419,0.237,0.807,0.123,-14.936,0.0334,117.069,4
53,Common Burn,Seasons of Your Day,Mazzy Star,2013-09-24,309920,42,0.405,0.906,0.405,0.17,0.383,0.0956,-15.135,0.0309,126.256,4
54,Opening,Parasite,Jung Jae Il,2019-05-30,127513,37,0.4,0.934,0.4,0.336,0.888,0.104,-13.352,0.0324,139.787,3
55,Bird,Kelly Lee Owens (Extended Version),Kelly Lee Owens,2017-11-24,315266,0,0.663,0.24,0.663,0.433,0.872,0.111,-13.287,0.0372,109.998,4
56,Girl,Girl/Sleep Sound,Jamie xx,2014-05-05,241504,17,0.511,0.163,0.511,0.61,0.61,0.744,-11.291,0.243,101.614,4
57,Grand Street Feast,5 Star Motel,Gitkin,2018-04-06,206132,39,0.624,0.212,0.624,0.644,0.934,0.113,-11.295,0.0364,94.829,4
58,Yes,Yes,Bostro Pesopeo,2011-11-18,393081,16,0.845,0.148,0.845,0.586,0.0509,0.146,-9.277,0.252,119.994,4
59,Becaria,Embajadores,Camellos,2017-04-07,151146,30,0.483,0.054,0.483,0.645,0.0,0.0961,-5.509,0.0722,144.457,4
60,These Days,The Velvet Underground & Nico (45th Anniversary / Super Deluxe Edition),The Velvet Underground,1967-03-12,214466,20,0.401,0.984,0.401,0.138,0.0903,0.105,-16.738,0.0313,93.025,4
61,My Foolish Heart,Waltz For Debby [Original Jazz Classics Remasters] (OJC Remaster),Bill Evans Trio,1961,297320,61,0.395,0.935,0.395,0.121,0.397,0.697,-23.427,0.0327,114.521,4
62,Atomic Bomb - Cover,What?!,William Onyeabor,2014-04-28,436236,48,0.834,0.0145,0.834,0.56,0.282,0.446,-10.062,0.0439,125.798,4
63,Suddenly,The End Of Comedy,Drugdealer,2016-09-09,197040,58,0.651,0.503,0.651,0.465,0.0455,0.495,-7.538,0.0328,107.75,4
64,This Old House Is All I Have,2012 - 2017,Against All Logic,2018-02-17,218959,53,0.69,0.312,0.69,0.804,0.775,0.171,-6.288,0.0675,86.974,4
65,Alien (Hold On to Your Dreams),Nothing New,Gil Scott-Heron,2015-04-01,181000,15,0.583,0.975,0.583,0.273,1.46e-05,0.123,-13.691,0.0712,105.217,4
66,Come And Get Your Love,The Best Of Redbone,Redbone,2010-03-05,208306,62,0.793,0.231,0.793,0.481,0.00122,0.06,-14.246,0.0278,107.744,4
67,blun7 a swishland,blun7 a swishland,tha Supreme,2019-11-08,167760,53,0.692,0.13,0.692,0.792,0.0,0.255,-5.984,0.245,129.883,4
68,French Press,French Press,Rolling Blackouts Coastal Fever,2017-01-24,326807,41,0.397,0.0412,0.397,0.915,0.0641,0.348,-5.573,0.0539,81.044,4
69,Part III,Jinx,Crumb,2019-06-14,222920,53,0.333,0.197,0.333,0.506,0.84,0.235,-8.78,0.0281,83.807,4
70,Beach Baby,Blood Bank EP (10th Anniversary Edition),Bon Iver,2020-03-27,157040,37,0.665,0.985,0.665,0.0741,0.287,0.107,-17.228,0.0374,114.389,3
71,Wet Summer,The One with the Emoticon,Seb Wildblood,2017-04-28,349856,23,0.91,0.0849,0.91,0.472,0.875,0.1,-11.778,0.0514,121.983,4
72,Summer Spliffs,Petal,Broke For Free,2014-06-03,277626,31,0.72,0.0377,0.72,0.756,0.884,0.108,-7.942,0.0337,107.969,4
73,Corny Song,Corny Song,Pang Lozano,2020-02-14,183191,5,0.73,0.766,0.73,0.153,0.000341,0.111,-19.839,0.0661,127.87,4
74,Zion Wolf Theme - Unfinished,Leak 04-13 (Bait Ones),Jai Paul,2013-04-13,187613,20,0.46,0.376,0.46,0.662,0.0298,0.118,-9.814,0.548,174.036,4
75,Kaffeklubben,Baïkonour,Camel Power Club,2017-06-23,221573,42,0.67,0.0411,0.67,0.661,0.00904,0.0646,-7.503,0.0283,115.01,4
76,sw1n6o - feat. Salmo,23 6451,tha Supreme,2019-11-15,184037,55,0.569,0.122,0.569,0.828,7.05e-06,0.785,-5.554,0.0857,169.982,4
77,In Another Room,A Moot Point,Pional,2010-02-11,454265,39,0.861,0.0145,0.861,0.601,0.853,0.0559,-7.402,0.11,107.019,4
78,PERDONAMI,Playlist,Salmo,2018-11-09,134413,55,0.704,0.0699,0.704,0.745,0.0,0.0877,-4.722,0.272,76.592,4
79,Mama Oh No,For Ever,Jungle,2018-09-14,197240,23,0.675,0.465,0.675,0.502,0.583,0.138,-7.952,0.033,123.055,4
80,Pure Comedy,Pure Comedy,Father John Misty,2017-04-07,383800,0,0.456,0.812,0.456,0.26,0.0,0.216,-11.661,0.0397,133.377,4
81,Casimir Pulaski Day,Illinois,Sufjan Stevens,2005-07-05,353946,55,0.686,0.909,0.686,0.172,0.00154,0.286,-14.979,0.0409,133.899,4
82,Idontknow,Idontknow,Jamie xx,2020-04-15,321502,36,0.506,0.513,0.506,0.714,0.871,0.053,-7.802,0.291,160.065,4
83,Obvs,In Colour,Jamie xx,2015-06-01,231039,6,0.633,0.858,0.633,0.393,0.925,0.0817,-12.603,0.0393,152.044,4
84,Roll Together,The Weight,Weval,2019-03-01,238315,38,0.734,0.917,0.734,0.391,0.681,0.151,-14.791,0.0475,97.022,4
85,Folha de Jurema,Folha de Jurema,Various Artists,2017-09-22,263688,55,0.647,0.718,0.647,0.397,0.0648,0.0974,-13.234,0.0816,179.868,4
86,Senza Un Perché,Tutto L'amore Che Mi Manca,Nada,2006-10-15,164906,49,0.795,0.645,0.795,0.472,8.8e-05,0.104,-8.308,0.0454,109.232,4
87,Wool (feat. Vince Staples),"I Don't Like Shit, I Don't Go Outside: An Album by Earl Sweatshirt",Earl Sweatshirt,2015-03-23,153120,52,0.732,0.347,0.732,0.473,0.0,0.366,-7.197,0.271,47.811,4
88,Real Love Baby,Real Love Baby,Father John Misty,2016-07-26,189293,2,0.427,0.0956,0.427,0.684,0.0196,0.12,-6.487,0.0353,204.429,4
89,Riot!,Some Rap Songs,Earl Sweatshirt,2018-11-30,66133,65,0.489,0.834,0.489,0.624,0.347,0.325,-1.916,0.0344,167.108,4
90,If Loving You Is Wrong,2017 - 2019,Against All Logic,2020-02-07,236411,45,0.73,0.517,0.73,0.903,0.161,0.635,-6.24,0.041,108.006,4
91,Bando,Bando,ANNA,2020-01-31,168000,61,0.97,0.155,0.97,0.739,0.0,0.111,-4.917,0.295,120.061,4
92,Pulaski at Night,I Want to See Pulaski at Night,Andrew Bird,2013-11-19,289093,49,0.446,0.67,0.446,0.643,0.000818,0.0951,-7.925,0.0561,99.608,4
93,Good Time Girl,Treehouse,Sofi Tukker,2018-04-13,184600,56,0.792,0.00768,0.792,0.713,0.167,0.115,-8.403,0.0466,124.021,4
94,2.3 Courante,Bach: The Cello Suites - Recomposed by Peter Gregson,Peter Gregson,2018-10-19,99610,29,0.499,0.961,0.499,0.353,0.856,0.154,-14.773,0.0352,99.936,3
95,Tenderness,Wide Awake!,Parquet Courts,2018-05-18,186106,35,0.716,0.165,0.716,0.736,0.000171,0.0746,-3.761,0.0363,98.005,4
96,Accordion (Four Tet Remix - Instrumental),Four Tet Remixes,Madvillain,2005,169706,27,0.647,0.517,0.647,0.644,0.896,0.105,-12.491,0.0435,97.016,4
97,Agua Viva,Hafa,iZem,2016-10-21,249982,38,0.685,0.518,0.685,0.445,0.000215,0.047,-11.405,0.0788,96.058,4
98,Polilla,Polilla,Mala Cotton,2020-05-08,316438,10,0.464,0.437,0.464,0.499,0.00331,0.276,-12.817,0.0579,146.776,4
99,Good News,Good News,Mac Miller,2020-01-09,342040,64,0.794,0.853,0.794,0.32,0.134,0.112,-12.92,0.173,174.088,4
